ProductRegNo,SLPID,TAC,RegType,IMEI,productCategory,modelId,modelDescription,consigneeName
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145463,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145471,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145489,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145497,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145505,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145513,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145521,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145539,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145547,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145554,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145562,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145570,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145588,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145596,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145604,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145612,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145620,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145638,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145646,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145653,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145661,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145679,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145687,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145695,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145703,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145711,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145729,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145737,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145745,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145752,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145760,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145778,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145786,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145794,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145802,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145810,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145828,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145836,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145844,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145851,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145869,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145877,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145885,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145893,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145901,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145919,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145927,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145935,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145943,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145950,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145968,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145976,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145984,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041145992,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041146008,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041146016,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041146024,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041146032,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041146040,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041146057,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041146065,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041146073,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041146206,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
SQASI/20/LBL/759822,HIDF15000115,RGCF/06A/0120/S(19-5116),IMEI,863203041146545,,,"B535-235 [Support: 802.11 a/b/g/n /ac] [802.11 b/g/n: 2400 MHz - 2483.5 MHz] [802.11 a/n/ac: 5150 MHz - 5350 MHz, 5470 MHz – 5650 MHz]",HUAWEI TECHNOLOGIES (MALAYSIA) SDN. BHD
